code,date,close,slope_standard
159606,2023-07-24,0.802,-0.05828499752958298
159606,2023-07-25,0.813,-0.05788644734205105
159606,2023-07-26,0.811,-0.05426644109215578
159606,2023-07-27,0.807,-0.051977460860215645
159606,2023-07-28,0.815,-0.04314747993707859
159606,2023-07-31,0.818,-0.034924173537134985
159606,2023-08-01,0.814,-0.03423110126034795
159607,2023-07-05,0.766,-0.05946078793691254
159607,2023-07-06,0.751,-0.09219063574820224
159607,2023-07-07,0.748,-0.11677785942996848
159607,2023-07-10,0.754,-0.13494732967846718
159607,2023-07-11,0.766,-0.13068990528216623
159607,2023-07-12,0.776,-0.12416774949923798
159607,2023-07-13,0.81,-0.0718280886001442
159607,2023-07-14,0.811,-0.008333746787457916
159607,2023-07-17,0.797,0.03233438524718637
159607,2023-07-18,0.792,0.06377087386867503
159607,2023-07-19,0.791,0.07378853241799796
159607,2023-07-20,0.782,0.06554071681933
159607,2023-07-21,0.787,0.07166310409803166
159607,2023-07-24,0.77,0.06466495076048126
159607,2023-07-25,0.816,0.07886695908156025
159607,2023-07-26,0.819,0.08331642288930677
159607,2023-07-27,0.829,0.107623717532307
159607,2023-07-28,0.851,0.1449516308144434
159607,2023-07-31,0.871,0.1829749731291473
159607,2023-08-01,0.861,0.19361154748997556
159608,2023-07-05,0.701,-0.01463123134741508
159608,2023-07-06,0.685,-0.008958451775453935
159608,2023-07-07,0.68,-0.003086337450719972
159608,2023-07-10,0.686,0.002985416747436854
159608,2023-07-11,0.686,0.009616866246060424
159608,2023-07-12,0.684,0.011805514968074561
159608,2023-07-13,0.69,0.027861928268788288
159608,2023-07-14,0.683,0.04042695012057315
159608,2023-07-17,0.675,0.041137047106028904
159608,2023-07-18,0.674,0.03697826563793772
159608,2023-07-19,0.672,0.02302822421359828
159608,2023-07-20,0.678,0.009400961590325848
159608,2023-07-21,0.668,-0.008791681248579923
159608,2023-07-24,0.656,-0.0394038730958039
159608,2023-07-25,0.67,-0.05859331100932938
159608,2023-07-26,0.669,-0.06918424235659743
159608,2023-07-27,0.664,-0.0789630970233018
159608,2023-07-28,0.671,-0.081910479815001
159608,2023-07-31,0.679,-0.06234155319314619
159608,2023-08-01,0.681,-0.05198716419757442
159609,2023-07-05,0.706,0.08924457675357074
159609,2023-07-06,0.703,0.06841910639482925
159609,2023-07-07,0.692,0.04113495232831111
159609,2023-07-10,0.712,0.02756245516463226
159609,2023-07-11,0.707,0.009133083688560861
159609,2023-07-12,0.712,-0.013811374404230007
159609,2023-07-13,0.719,-0.01663908313779965
159609,2023-07-14,0.707,-0.020913847136535057
159609,2023-07-17,0.703,-0.02750852741114108
159609,2023-07-18,0.697,-0.03665389545030267
159609,2023-07-19,0.687,-0.05563314017957013
159609,2023-07-20,0.683,-0.07179314586416474
159609,2023-07-21,0.677,-0.08736904449185207
159609,2023-07-24,0.668,-0.10089529864034402
159609,2023-07-25,0.681,-0.10587991707270403
159609,2023-07-26,0.682,-0.10132670479295713
159609,2023-07-27,0.673,-0.10083354474981253
159609,2023-07-28,0.682,-0.09522558569680814
159609,2023-07-31,0.686,-0.0919519166371068
159609,2023-08-01,0.676,-0.09483585797705614
159610,2023-07-05,0.827,-0.01965436240140434
159610,2023-07-06,0.823,-0.02953166406507579
159610,2023-07-07,0.825,-0.03583857653376045
159610,2023-07-10,0.824,-0.03968253489795442
159610,2023-07-11,0.83,-0.03962790307292398
159610,2023-07-12,0.822,-0.04335820678249072
159610,2023-07-13,0.834,-0.03492105681112412
159610,2023-07-14,0.831,-0.02428684540410275
159610,2023-07-17,0.831,-0.014012713765327004
159610,2023-07-18,0.828,-0.004699973130513268
159610,2023-07-19,0.827,-0.006097609426503172
159610,2023-07-20,0.818,-0.02472769788840782
159610,2023-07-21,0.816,-0.03865190650987026
159610,2023-07-24,0.817,-0.048749960423320596
159610,2023-07-25,0.829,-0.049531560860576994
159610,2023-07-26,0.825,-0.049021063148049854
159610,2023-07-27,0.82,-0.0494005225103389
159610,2023-07-28,0.834,-0.03848217577974402
159610,2023-07-31,0.838,-0.028821012361571783
159610,2023-08-01,0.837,-0.023829323054154253
159611,2023-07-05,0.938,0.005399878609254182
159611,2023-07-06,0.936,0.006786268592187446
159611,2023-07-07,0.944,0.02635912889710189
159611,2023-07-10,0.951,0.03762807529509709
159611,2023-07-11,0.945,0.03732942167527295
159611,2023-07-12,0.944,0.025735681576211145
159611,2023-07-13,0.948,0.021200982390056546
159611,2023-07-14,0.937,0.0002553665544517377
159611,2023-07-17,0.938,-0.01584734624275209
159611,2023-07-18,0.93,-0.0423129523041532
159611,2023-07-19,0.93,-0.06765800077519499
159611,2023-07-20,0.92,-0.08211353215328858
159611,2023-07-21,0.921,-0.09798408450457093
159611,2023-07-24,0.926,-0.09789341513922985
159611,2023-07-25,0.92,-0.10552324039115386
159611,2023-07-26,0.919,-0.11503354414329926
159611,2023-07-27,0.915,-0.11927204519774283
159611,2023-07-28,0.918,-0.12418121629248983
159611,2023-07-31,0.925,-0.12456009650599022
159611,2023-08-01,0.937,-0.11687461609364562
159612,2023-07-05,1.204,0.019531952427821738
159612,2023-07-06,1.202,0.007531726378612688
159612,2023-07-07,1.194,-0.00897682529750453
159612,2023-07-10,1.186,-0.02762140297186764
159612,2023-07-11,1.191,-0.03613007330126445
159612,2023-07-12,1.196,-0.040528093208650175
159612,2023-07-13,1.203,-0.04436331922617206
159612,2023-07-14,1.201,-0.04502525350194011
159612,2023-07-17,1.206,-0.0441685671591035
159612,2023-07-18,1.213,-0.039596377376707105
159612,2023-07-19,1.232,-0.02577138840219935
159612,2023-07-20,1.224,-0.02370204383245924
159612,2023-07-21,1.219,-0.030705288998333777
159612,2023-07-24,1.221,-0.03300434436259568
159612,2023-07-25,1.218,-0.03576785787175182
159612,2023-07-26,1.224,-0.03356036116571337
159612,2023-07-27,1.227,-0.021464769121853744
159612,2023-07-28,1.219,-0.018951710059754847
159612,2023-07-31,1.222,-0.015683794035276637
159612,2023-08-01,1.23,-0.010183120297655026
159613,2023-07-05,0.936,-0.13011279573824214
159613,2023-07-06,0.937,-0.1780737520613864
159613,2023-07-07,0.915,-0.22557357649079784
159613,2023-07-10,0.915,-0.2732237561152927
159613,2023-07-11,0.921,-0.28895907930837195
159613,2023-07-12,0.894,-0.3172730267213074
159613,2023-07-13,0.902,-0.33747515483325835
159613,2023-07-14,0.923,-0.31485502186599007
159613,2023-07-17,0.931,-0.25637621556143725
159613,2023-07-18,0.916,-0.18899737681972734
159613,2023-07-19,0.911,-0.14663951056717842
159613,2023-07-20,0.885,-0.15587378127668824
159613,2023-07-21,0.879,-0.16123352552522802
159613,2023-07-24,0.889,-0.177564575580958
159613,2023-07-25,0.903,-0.1768929728077292
159613,2023-07-26,0.889,-0.17986157065919006
159613,2023-07-27,0.878,-0.18195114442776966
159613,2023-07-28,0.89,-0.1621480396788999
159613,2023-07-31,0.899,-0.1434822630839991
159613,2023-08-01,0.906,-0.11590279110977254
159615,2023-07-05,0.844,-0.13232336505370706
159615,2023-07-06,0.828,-0.1346227065693388
159615,2023-07-07,0.821,-0.12914027322532207
159615,2023-07-10,0.823,-0.12849382218546163
159615,2023-07-11,0.829,-0.12184314993567888
159615,2023-07-12,0.815,-0.12732691564024914
159615,2023-07-13,0.847,-0.10648938058861786
159615,2023-07-14,0.841,-0.06687980361585229
159615,2023-07-17,0.831,-0.03960606545695778
159615,2023-07-18,0.836,-0.022408988882981266
159615,2023-07-19,0.827,-0.026972901392579542
159615,2023-07-20,0.824,-0.03265027511240094
159615,2023-07-21,0.841,-0.026158755059157435
159615,2023-07-24,0.843,-0.0285738139262118
159615,2023-07-25,0.856,-0.028618387412750447
159615,2023-07-26,0.863,-0.018303937010629833
159615,2023-07-27,0.868,-0.005741756547811549
159615,2023-07-28,0.896,0.043283113629999745
159615,2023-07-31,0.889,0.07249997118097451
159615,2023-08-01,0.886,0.08692427771199411
159616,2023-07-05,0.766,-0.031346359312193935
159616,2023-07-06,0.767,-0.028663180871335923
159616,2023-07-07,0.773,-0.0243169125460718
159616,2023-07-10,0.777,-0.01632763160705414
159616,2023-07-11,0.777,-0.011494785213913575
159616,2023-07-12,0.784,-0.005793543544869555
159616,2023-07-13,0.788,0.005067886511518962
159616,2023-07-14,0.784,0.014745828993452254
159616,2023-07-17,0.789,0.0243617901264518
159616,2023-07-18,0.798,0.034948396631291206
159616,2023-07-19,0.797,0.03797742395628159
159616,2023-07-20,0.802,0.03858685271723546
159616,2023-07-21,0.807,0.04398477527046983
159616,2023-07-24,0.792,0.037703141821154834
159616,2023-07-25,0.794,0.029144071085745203
159616,2023-07-26,0.803,0.028448105745333838
159616,2023-07-27,0.796,0.026386255675103047
159616,2023-07-28,0.807,0.026999397450381067
159616,2023-07-31,0.815,0.027166180148504842
159616,2023-08-01,0.81,0.022089074572153384
159617,2023-07-05,1.069,-0.09781404342860471
159617,2023-07-06,1.063,-0.09586748693529894
159617,2023-07-07,1.068,-0.08853763924880027
159617,2023-07-10,1.069,-0.08185917736966963
159617,2023-07-11,1.075,-0.07146908874611274
159617,2023-07-12,1.066,-0.06483287550156377
159617,2023-07-13,1.076,-0.05191922705447358
159617,2023-07-14,1.076,-0.03582793706738802
159617,2023-07-17,1.074,-0.025449219054333023
159617,2023-07-18,1.074,-0.020070638313655437
159617,2023-07-19,1.079,-0.019306570763753757
159617,2023-07-20,1.072,-0.035979722677906945
159617,2023-07-21,1.072,-0.04371940271204575
159617,2023-07-24,1.077,-0.049835099048378816
159617,2023-07-25,1.09,-0.04635146617225937
159617,2023-07-26,1.091,-0.03987294418582944
159617,2023-07-27,1.092,-0.029359897467780317
159617,2023-07-28,1.108,-0.012799724351791941
159617,2023-07-31,1.118,0.005133105588103994
159617,2023-08-01,1.119,0.01652643338183715
159618,2023-07-05,0.973,0.11581103497621811
159618,2023-07-06,0.97,0.08295986916232342
159618,2023-07-07,0.953,0.042553570951118336
159618,2023-07-10,0.983,0.023341675803812804
159618,2023-07-11,0.976,-0.005799654055973987
159618,2023-07-12,0.983,-0.042789911565885554
159618,2023-07-13,0.991,-0.04641354863999789
159618,2023-07-14,0.974,-0.05181580936192253
159618,2023-07-17,0.969,-0.0616169914547939
159618,2023-07-18,0.961,-0.07469563525953239
159618,2023-07-19,0.949,-0.10389511032852795
159618,2023-07-20,0.942,-0.13101110045598025
159618,2023-07-21,0.932,-0.15611261706200158
159618,2023-07-24,0.923,-0.17787639516827902
159618,2023-07-25,0.938,-0.18216546464961672
159618,2023-07-26,0.94,-0.1771170592925378
159618,2023-07-27,0.929,-0.17545875102868286
159618,2023-07-28,0.938,-0.1695238745260534
159618,2023-07-31,0.944,-0.1660294209157974
159618,2023-08-01,0.93,-0.1713056079388195
159619,2023-07-05,1.008,-0.01637829824897903
159619,2023-07-06,1.0,-0.011690103709430969
159619,2023-07-07,1.01,-0.00041857445730113154
159619,2023-07-10,1.013,0.006801413274551762
159619,2023-07-11,1.011,0.005389642620332331
159619,2023-07-12,0.99,-0.010023620228380709
159619,2023-07-13,1.006,-0.009564977294538809
159619,2023-07-14,1.015,0.01453325574249363
