code,low,high
159501,-0.3999999999999999,-0.19999999999999996
159503,-0.3999999999999999,-2.0
159506,-0.3999999999999999,-2.0
159507,-0.5,-0.3999999999999999
159508,-0.5,-0.30000000000000004
159512,-0.7,-2.0
159513,-2.0,-2.0
159516,-2.0,-2.0
159601,-0.7,-0.19999999999999996
159602,-0.7,-0.19999999999999996
159603,-0.3999999999999999,-0.19999999999999996
159605,0.20000000000000018,0.2999999999999998
159606,-0.10000000000000009,-2.0
159607,0.0,-2.0
159608,-0.7,0.0
159609,-0.7,-0.3999999999999999
159610,0.0,0.0
159611,-0.10000000000000009,0.0
159612,-0.19999999999999996,0.0
159613,-0.10000000000000009,0.20000000000000018
159615,-0.10000000000000009,0.10000000000000009
159616,-0.7,-0.30000000000000004
159617,-0.10000000000000009,0.0
159618,-0.7,-0.10000000000000009
159619,0.0,0.10000000000000009
159620,-0.19999999999999996,0.0
159621,-0.10000000000000009,0.0
159622,-0.5,-2.0
159623,-0.10000000000000009,0.0
159625,-0.7,-0.10000000000000009
159627,-0.7,-0.10000000000000009
159628,-0.10000000000000009,0.0
159629,-0.10000000000000009,0.0
159630,-0.7,-0.10000000000000009
159631,-0.19999999999999996,0.0
159632,-0.10000000000000009,0.10000000000000009
159633,-0.19999999999999996,0.0
159635,-0.10000000000000009,0.10000000000000009
159636,-0.10000000000000009,0.10000000000000009
159637,-0.19999999999999996,-0.10000000000000009
159638,-0.10000000000000009,-2.0
159639,-0.10000000000000009,-2.0
159640,-0.19999999999999996,-2.0
159641,-0.10000000000000009,-2.0
159642,-0.30000000000000004,-0.19999999999999996
159643,-0.19999999999999996,-0.10000000000000009
159645,-0.5,-0.19999999999999996
159646,-0.19999999999999996,-0.10000000000000009
159647,-0.19999999999999996,0.0
159649,-0.19999999999999996,-0.10000000000000009
159650,-0.30000000000000004,-0.10000000000000009
159651,-0.7,-0.10000000000000009
159652,-0.3999999999999999,-0.30000000000000004
159653,-0.7,-0.30000000000000004
159655,-0.10000000000000009,0.0
159656,-0.7,-0.3999999999999999
159657,-0.5,-0.19999999999999996
159658,-0.7,0.10000000000000009
159659,-0.7,-0.19999999999999996
159660,-0.3999999999999999,-0.19999999999999996
159662,-0.30000000000000004,-0.10000000000000009
159663,-0.10000000000000009,0.0
159665,-0.5,0.0
159666,-0.5,-0.19999999999999996
159667,-0.10000000000000009,0.0
159669,-0.10000000000000009,-0.10000000000000009
159670,-0.3999999999999999,-0.10000000000000009
159671,-0.3999999999999999,-2.0
159672,-2.0,-2.0
159673,-0.5,-0.30000000000000004
159675,-0.30000000000000004,-0.10000000000000009
159676,-0.7,-2.0
159677,-0.30000000000000004,-0.10000000000000009
159678,-0.10000000000000009,-2.0
159679,-0.7,-0.3999999999999999
159680,-0.30000000000000004,-0.10000000000000009
159681,-0.7,-0.30000000000000004
159682,-0.7,-0.30000000000000004
159683,-0.7,-0.10000000000000009
159685,-0.7,-0.3999999999999999
159686,-0.5,-2.0
159687,-0.7,-0.19999999999999996
159688,-0.19999999999999996,-0.10000000000000009
159689,-0.5,-0.19999999999999996
159690,-0.7,-0.3999999999999999
159691,-0.19999999999999996,-0.10000000000000009
159692,-0.30000000000000004,-0.10000000000000009
159695,-0.3999999999999999,-0.19999999999999996
159697,-0.19999999999999996,-0.10000000000000009
159701,-0.10000000000000009,0.10000000000000009
159703,-0.3999999999999999,-0.10000000000000009
159706,0.0,0.10000000000000009
159707,-0.30000000000000004,0.10000000000000009
