code,name,date,close,scale,type,slope_standard
159602,南方MSCI中国A50互联互通ETF行情,2023-07-07,0.758,15.31,指数型-股票,-0.03756656669518957
159602,南方MSCI中国A50互联互通ETF行情,2023-07-10,0.765,15.31,指数型-股票,-0.047075209810543236
159602,南方MSCI中国A50互联互通ETF行情,2023-07-11,0.771,15.31,指数型-股票,-0.04967939166238426
159602,南方MSCI中国A50互联互通ETF行情,2023-07-12,0.77,15.31,指数型-股票,-0.05286682664718632
159602,南方MSCI中国A50互联互通ETF行情,2023-07-13,0.786,15.31,指数型-股票,-0.033329671963875346
159602,南方MSCI中国A50互联互通ETF行情,2023-07-14,0.785,15.31,指数型-股票,-0.008740996759308273
159602,南方MSCI中国A50互联互通ETF行情,2023-07-17,0.779,15.31,指数型-股票,0.003809535164048834
159602,南方MSCI中国A50互联互通ETF行情,2023-07-18,0.778,15.31,指数型-股票,0.014686154900031279
159602,南方MSCI中国A50互联互通ETF行情,2023-07-19,0.777,15.31,指数型-股票,0.018313877075226685
159602,南方MSCI中国A50互联互通ETF行情,2023-07-20,0.776,15.31,指数型-股票,0.013299379116538217
159602,南方MSCI中国A50互联互通ETF行情,2023-07-21,0.776,15.31,指数型-股票,0.010847146597710055
159602,南方MSCI中国A50互联互通ETF行情,2023-07-24,0.77,15.31,指数型-股票,0.004694099959255193
159602,南方MSCI中国A50互联互通ETF行情,2023-07-25,0.794,15.31,指数型-股票,0.010583306113644594
159603,天弘中证科创创业50ETF行情,2023-06-28,0.869,19.92,指数型-股票,-0.03516944595892107
159603,天弘中证科创创业50ETF行情,2023-06-29,0.865,19.92,指数型-股票,-0.02971025084831066
159603,天弘中证科创创业50ETF行情,2023-06-30,0.878,19.92,指数型-股票,-0.013642656965960677
159603,天弘中证科创创业50ETF行情,2023-07-03,0.88,19.92,指数型-股票,-0.001128827652598114
159603,天弘中证科创创业50ETF行情,2023-07-04,0.887,19.92,指数型-股票,0.0036755551045665087
159603,天弘中证科创创业50ETF行情,2023-07-05,0.883,19.92,指数型-股票,-0.0014702208687857234
159603,天弘中证科创创业50ETF行情,2023-07-06,0.874,19.92,指数型-股票,-0.02038964795809048
159603,天弘中证科创创业50ETF行情,2023-07-07,0.862,19.92,指数型-股票,-0.039933862560346894
159603,天弘中证科创创业50ETF行情,2023-07-10,0.871,19.92,指数型-股票,-0.053586115970860666
159603,天弘中证科创创业50ETF行情,2023-07-11,0.879,19.92,指数型-股票,-0.058597843459414774
159603,天弘中证科创创业50ETF行情,2023-07-12,0.873,19.92,指数型-股票,-0.07035094744159556
159603,天弘中证科创创业50ETF行情,2023-07-13,0.882,19.92,指数型-股票,-0.06455893517602818
159603,天弘中证科创创业50ETF行情,2023-07-14,0.878,19.92,指数型-股票,-0.05339454699036859
159603,天弘中证科创创业50ETF行情,2023-07-17,0.872,19.92,指数型-股票,-0.043858917416462896
159603,天弘中证科创创业50ETF行情,2023-07-18,0.87,19.92,指数型-股票,-0.03575517997424799
159603,天弘中证科创创业50ETF行情,2023-07-19,0.862,19.92,指数型-股票,-0.04396132403628195
159603,天弘中证科创创业50ETF行情,2023-07-20,0.853,19.92,指数型-股票,-0.05851665158191612
159603,天弘中证科创创业50ETF行情,2023-07-21,0.852,19.92,指数型-股票,-0.07129822685850647
159603,天弘中证科创创业50ETF行情,2023-07-24,0.846,19.92,指数型-股票,-0.08750089517989362
159603,天弘中证科创创业50ETF行情,2023-07-25,0.858,19.92,指数型-股票,-0.09785793554783634
159605,广发海外中国互联网30(QDII-ETF)行情,2023-06-28,0.772,60.64,QDII,0.11680513364761158
159605,广发海外中国互联网30(QDII-ETF)行情,2023-06-29,0.757,60.64,QDII,0.05585642564869796
159605,广发海外中国互联网30(QDII-ETF)行情,2023-06-30,0.75,60.64,QDII,0.0165453319828453
159605,广发海外中国互联网30(QDII-ETF)行情,2023-07-03,0.772,60.64,QDII,-0.007244150382778345
159605,广发海外中国互联网30(QDII-ETF)行情,2023-07-04,0.776,60.64,QDII,-0.03487896164264648
159605,广发海外中国互联网30(QDII-ETF)行情,2023-07-05,0.767,60.64,QDII,-0.05679958341761584
159605,广发海外中国互联网30(QDII-ETF)行情,2023-07-06,0.752,60.64,QDII,-0.08943321930461673
159605,广发海外中国互联网30(QDII-ETF)行情,2023-07-07,0.749,60.64,QDII,-0.11471166242378938
159605,广发海外中国互联网30(QDII-ETF)行情,2023-07-10,0.755,60.64,QDII,-0.1344561059884885
159605,广发海外中国互联网30(QDII-ETF)行情,2023-07-11,0.767,60.64,QDII,-0.12951456057352698
159605,广发海外中国互联网30(QDII-ETF)行情,2023-07-12,0.778,60.64,QDII,-0.12082165642856407
159605,广发海外中国互联网30(QDII-ETF)行情,2023-07-13,0.811,60.64,QDII,-0.06896241573431187
159605,广发海外中国互联网30(QDII-ETF)行情,2023-07-14,0.812,60.64,QDII,-0.00524469256446641
