code,scale
159936,2.07
159851,2.07
159958,2.06
159786,2.05
513880,2.04
159758,2.02
159748,2.02
516550,2.01
159635,2.01
159838,2.0
516220,1.98
510560,1.96
159675,1.96
159873,1.95
517960,1.93
561120,1.9
159687,1.9
159805,1.89
159822,1.88
515450,1.85
159930,1.85
159732,1.85
510170,1.84
159642,1.84
511580,1.82
159899,1.82
159708,1.82
159615,1.81
516810,1.8
516360,1.75
561320,1.73
515810,1.72
513900,1.71
510290,1.71
159739,1.7
588280,1.69
512380,1.69
159767,1.68
516300,1.64
516790,1.6
517090,1.59
159881,1.55
516730,1.53
562320,1.52
517200,1.52
515360,1.52
516380,1.51
518680,1.5
518850,1.47
517110,1.45
515350,1.44
510060,1.44
588150,1.43
159933,1.43
159827,1.42
159729,1.39
516760,1.37
159716,1.37
159656,1.37
516310,1.36
560980,1.35
159804,1.35
159735,1.35
561700,1.34
517180,1.34
512180,1.31
159891,1.29
512730,1.28
513150,1.27
512520,1.26
159697,1.26
560100,1.25
512750,1.24
562910,1.23
159663,1.23
516580,1.21
516060,1.21
516590,1.2
516520,1.2
510030,1.2
159612,1.18
159770,1.17
159760,1.17
517350,1.16
516710,1.15
516770,1.14
159776,1.14
159666,1.14
561310,1.13
516260,1.13
159888,1.13
562300,1.12
561510,1.12
515630,1.12
515990,1.11
510660,1.1
159709,1.1
159662,1.1
159943,1.08
510020,1.07
560660,1.06
560560,1.06
516500,1.06
516180,1.06
518660,1.05
159976,1.05
516600,1.04
515770,1.04
561800,1.03
159889,1.03
516910,1.02
159643,1.02
159616,1.02
159906,1.01
561590,1.0
513290,1.0
513080,0.99
513070,0.99
159991,0.99
561180,0.98
159835,0.98
516850,0.96
159779,0.96
516750,0.95
159877,0.95
159751,0.95
159613,0.94
511180,0.92
159965,0.92
159912,0.92
159849,0.92
159719,0.92
512260,0.91
159763,0.91
561560,0.9
561500,0.9
517800,0.9
515670,0.9
159848,0.9
159775,0.9
516530,0.88
159956,0.88
159808,0.86
516130,0.84
159726,0.83
562900,0.82
561710,0.82
562390,0.81
159880,0.81
159720,0.81
588160,0.8
562950,0.8
512360,0.8
159750,0.8
562360,0.79
159975,0.79
516960,0.78
513280,0.78
512190,0.78
159858,0.78
515530,0.77
159896,0.76
518600,0.75
510190,0.75
510090,0.75
159890,0.74
562330,0.73
516560,0.73
512970,0.73
516320,0.72
515130,0.71
159871,0.71
516630,0.7
516610,0.7
512640,0.7
512280,0.69
510200,0.69
159795,0.69
562550,0.68
513590,0.68
159721,0.68
159659,0.68
513960,0.67
513220,0.67
159812,0.67
159683,0.67
513800,0.66
159712,0.66
159669,0.66
159990,0.65
159773,0.65
159621,0.65
513990,0.64
512150,0.64
159918,0.64
159836,0.64
159706,0.64
561900,0.63
515190,0.63
513530,0.63
516000,0.62
560990,0.61
515090,0.61
159931,0.61
159718,0.61
517360,0.6
515280,0.6
515310,0.59
159935,0.59
159703,0.59
513160,0.58
510990,0.58
159872,0.58
159886,0.57
159830,0.57
562520,0.56
561600,0.56
516900,0.55
516650,0.55
517390,0.54
516930,0.54
159798,0.54
159797,0.54
159717,0.54
159630,0.54
159617,0.54
588010,0.53
516330,0.53
513230,0.53
510650,0.53
159855,0.53
159778,0.53
159723,0.53
159987,0.52
159655,0.52
588310,0.51
562010,0.51
516720,0.51
159945,0.51
517880,0.5
516690,0.5
159710,0.5
560680,0.49
518890,0.49
518860,0.49
513320,0.49
513310,0.49
512530,0.49
159913,0.49
159876,0.49
562350,0.48
517010,0.48
516860,0.48
513140,0.48
159731,0.48
517280,0.47
512870,0.47
159862,0.47
159730,0.47
561330,0.46
510570,0.46
159789,0.46
517900,0.45
159793,0.45
159738,0.45
560960,0.44
516100,0.44
515570,0.44
510600,0.44
510370,0.44
159725,0.42
159834,0.41
159810,0.41
159728,0.41
516890,0.4
516620,0.4
515590,0.4
517550,0.39
517170,0.39
515930,0.39
517030,0.38
159769,0.38
159695,0.38
561920,0.37
515780,0.37
159895,0.36
159831,0.36
510770,0.35
516700,0.34
515550,0.33
159983,0.33
159853,0.33
517770,0.32
516570,0.32
159944,0.32
517500,0.31
510680,0.31
159620,0.31
159823,0.3
159788,0.3
159733,0.3
159701,0.3
159646,0.3
517660,0.29
159984,0.29
159833,0.29
159711,0.29
560650,0.28
512320,0.28
515520,0.27
159645,0.27
517990,0.26
517760,0.26
510550,0.25
159821,0.24
562530,0.23
517270,0.23
516980,0.23
510270,0.23
159970,0.23
159969,0.23
159787,0.23
562960,0.21
510110,0.21
159923,0.21
560000,0.19
516480,0.18
516190,0.18
159791,0.17
588320,0.16
510120,0.15
159971,0.13
159777,0.13
159815,0.12
560600,0.11
