date,close,code
2020-04-27,1.0,009293
2020-04-30,0.9988,009293
2020-05-08,0.9976,009293
2020-05-15,0.9943,009293
2020-05-22,0.9946,009293
2020-05-29,0.9912,009293
2020-06-05,0.9835,009293
2020-06-12,0.9834,009293
2020-06-19,0.9838,009293
2020-06-24,0.98,009293
2020-06-30,0.9806,009293
2020-07-03,0.9819,009293
2020-07-10,0.9737,009293
2020-07-17,0.9717,009293
2020-07-24,0.9774,009293
2020-07-31,0.9784,009293
2020-08-07,0.9785,009293
2020-08-14,0.98,009293
2020-08-21,0.9807,009293
2020-08-28,0.9788,009293
2020-09-04,0.9779,009293
2020-09-11,0.9778,009293
2020-09-18,0.9794,009293
2020-09-25,0.9805,009293
2020-09-30,0.9807,009293
2020-10-09,0.9811,009293
2020-10-16,0.9822,009293
2020-10-23,0.9839,009293
2020-10-30,0.9846,009293
2020-11-06,0.9855,009293
2020-11-13,0.9827,009293
2020-11-20,0.9768,009293
2020-11-27,0.9772,009293
2020-12-04,0.9793,009293
2020-12-11,0.9809,009293
2020-12-18,0.9812,009293
2020-12-25,0.9829,009293
2020-12-31,0.9842,009293
2021-01-08,0.988,009293
2021-01-15,0.9904,009293
2021-01-22,0.9911,009293
2021-01-29,0.9901,009293
2021-02-05,0.9914,009293
2021-02-10,0.9919,009293
2021-02-19,0.9924,009293
2021-02-26,0.9937,009293
2021-03-01,0.9941,009293
2021-03-02,0.9942,009293
2021-03-03,0.9943,009293
2021-03-04,0.9939,009293
2021-03-05,0.9936,009293
2021-03-08,0.994,009293
2021-03-09,0.9937,009293
2021-03-10,0.9941,009293
2021-03-11,0.9941,009293
2021-03-12,0.9943,009293
2021-03-15,0.9959,009293
2021-03-16,0.996,009293
2021-03-17,0.9961,009293
2021-03-18,0.9963,009293
2021-03-19,0.9965,009293
2021-03-22,0.9964,009293
2021-03-23,0.9966,009293
2021-03-24,0.9966,009293
2021-03-25,0.9967,009293
2021-03-26,0.9968,009293
2021-03-29,0.9971,009293
2021-03-30,0.9972,009293
2021-03-31,0.9971,009293
2021-04-01,0.9972,009293
2021-04-02,0.9972,009293
2021-04-06,0.9975,009293
2021-04-07,0.9975,009293
2021-04-08,0.9975,009293
2021-04-09,0.9976,009293
2021-04-12,0.9981,009293
2021-04-13,0.9986,009293
2021-04-14,0.9989,009293
2021-04-15,0.9988,009293
2021-04-16,0.9989,009293
2021-04-19,0.9992,009293
2021-04-20,0.9995,009293
2021-04-21,0.9997,009293
2021-04-22,0.9998,009293
2021-04-23,1.0002,009293
2021-04-26,1.0005,009293
2021-04-27,1.0004,009293
2021-04-28,1.0007,009293
2021-04-29,1.0009,009293
2021-04-30,1.0011,009293
2021-05-06,1.0019,009293
2021-05-07,1.0023,009293
2021-05-10,1.0028,009293
2021-05-11,1.0032,009293
2021-05-12,1.0038,009293
2021-05-13,1.0039,009293
