date,open,close,high,low,volume,turnover,increase,increase_rate,increase_amount,exchange_rate,code
2021-01-07,45.66,41.23,47.7,39.75,135937,573469328.0,59.37,207.92,27.84,71.49,300927
2021-01-08,40.0,46.49,50.29,39.22,130767,584142544.0,26.85,12.76,5.26,68.77,300927
2021-01-11,43.5,41.5,44.98,40.67,97871,419410400.0,9.27,-10.73,-4.99,51.47,300927
2021-01-12,39.47,37.99,40.5,37.0,81183,311800880.0,8.43,-8.46,-3.51,42.69,300927
2021-01-13,36.99,34.99,38.44,34.21,79117,284957104.0,11.13,-7.9,-3.0,41.61,300927
2021-01-14,33.81,38.0,39.99,32.39,103773,381697328.0,21.72,8.6,3.01,54.57,300927
2021-01-15,36.8,45.6,45.6,35.81,105967,434048208.0,25.76,20.0,7.6,55.73,300927
2021-01-18,44.89,42.85,49.66,42.08,104405,470298960.0,16.62,-6.03,-2.75,54.91,300927
2021-01-19,41.78,40.96,44.47,39.88,91495,383216512.0,10.71,-4.41,-1.89,48.12,300927
2021-01-20,40.77,39.93,41.44,38.71,69496,276805344.0,6.67,-2.51,-1.03,36.55,300927
2021-01-21,39.12,37.59,39.5,37.26,67455,257077737.0,5.61,-5.86,-2.34,35.47,300927
2021-01-22,37.28,36.22,38.82,35.9,57274,213983583.0,7.77,-3.64,-1.37,30.12,300927
2021-01-25,35.58,36.94,37.28,34.8,50590,183382728.0,6.85,1.99,0.72,26.61,300927
2021-01-26,36.56,34.07,37.79,33.9,55162,197856775.0,10.53,-7.77,-2.87,29.01,300927
2021-01-27,33.39,34.72,35.18,32.85,42696,145818901.0,6.84,1.91,0.65,22.45,300927
2021-01-28,34.06,32.89,34.38,32.86,36046,120774415.0,4.38,-5.27,-1.83,18.96,300927
2021-01-29,32.91,34.46,34.99,32.7,50128,169318778.0,6.96,4.77,1.57,26.36,300927
2021-02-01,35.18,37.35,38.8,34.62,71364,260852244.0,12.13,8.39,2.89,37.53,300927
2021-02-02,36.73,35.8,40.53,35.58,73611,278281200.0,13.25,-4.15,-1.55,38.71,300927
2021-02-03,34.11,34.46,35.18,32.89,58869,199169626.0,6.4,-3.74,-1.34,30.96,300927
2021-02-04,33.8,33.1,34.37,32.8,37769,126382975.0,4.56,-3.95,-1.36,19.86,300927
2021-02-05,32.88,29.73,33.8,29.67,50258,158271718.0,12.48,-10.18,-3.37,26.43,300927
2021-02-08,29.41,29.05,30.41,28.81,30044,89403559.0,5.38,-2.29,-0.68,15.8,300927
2021-02-09,29.09,30.02,30.68,29.01,38689,114959944.0,5.75,3.34,0.97,20.35,300927
2021-02-10,30.04,28.5,30.3,28.3,36025,104806273.0,6.66,-5.06,-1.52,18.95,300927
2021-02-18,29.3,31.11,31.22,29.3,44858,136153008.0,6.74,9.16,2.61,23.59,300927
2021-02-19,31.37,31.6,32.06,30.24,44359,138687055.0,5.85,1.58,0.49,23.33,300927
2021-02-22,31.61,32.13,33.83,31.5,51425,166950964.0,7.37,1.68,0.53,27.04,300927
2021-02-23,32.81,38.56,38.56,32.14,112317,413035216.0,19.98,20.01,6.43,59.07,300927
2021-02-24,37.0,35.33,37.0,34.0,91843,327857072.0,7.78,-8.38,-3.23,48.3,300927
2021-02-25,35.66,33.76,36.58,33.47,69763,239711734.0,8.8,-4.44,-1.57,36.69,300927
2021-02-26,32.35,32.23,33.5,32.18,48660,159055631.0,3.91,-4.53,-1.53,25.59,300927
2021-03-01,32.27,33.01,33.33,32.22,37794,123726420.0,3.44,2.42,0.78,19.88,300927
2021-03-02,32.3,31.52,32.6,31.01,39020,123704003.0,4.82,-4.51,-1.49,20.52,300927
2021-03-03,31.48,33.69,34.52,31.11,59131,196230622.0,10.82,6.88,2.17,31.1,300927
2021-03-04,32.8,32.4,33.91,32.03,42891,140222144.0,5.58,-3.83,-1.29,22.56,300927
2021-03-05,32.34,33.11,34.5,32.02,47709,160541403.0,7.65,2.19,0.71,25.09,300927
2021-03-08,33.65,34.12,35.46,33.46,53973,185274711.0,6.04,3.05,1.01,28.38,300927
2021-03-09,33.8,31.9,33.96,31.27,44803,145045501.0,7.88,-6.51,-2.22,23.56,300927
2021-03-10,31.94,30.97,32.38,30.32,29596,92764713.0,6.46,-2.92,-0.93,15.56,300927
2021-03-11,31.0,31.35,31.45,30.48,25235,78413344.0,3.13,1.23,0.38,13.27,300927
2021-03-12,31.18,30.84,31.4,30.52,21592,66793414.0,2.81,-1.63,-0.51,11.36,300927
2021-03-15,30.34,31.99,32.03,29.9,38630,120329873.0,6.91,3.73,1.15,20.32,300927
2021-03-16,31.68,31.4,31.92,30.8,30023,93999283.0,3.5,-1.84,-0.59,15.79,300927
2021-03-17,30.95,31.73,32.0,30.84,28854,90811505.0,3.69,1.05,0.33,15.17,300927
2021-03-18,31.81,33.25,33.88,31.65,50355,164650914.0,7.03,4.79,1.52,26.48,300927
2021-03-19,32.33,33.06,34.05,32.11,44075,146745031.0,5.83,-0.57,-0.19,23.18,300927
2021-03-22,32.75,34.08,34.6,32.75,41281,139755653.0,5.6,3.09,1.02,21.71,300927
2021-03-23,34.0,34.38,35.99,33.18,58013,200043999.0,8.25,0.88,0.3,30.51,300927
2021-03-24,33.52,33.36,34.18,32.7,36188,120695680.0,4.3,-2.97,-1.02,19.03,300927
2021-03-25,33.36,33.0,34.65,33.0,35188,118489014.0,4.95,-1.08,-0.36,18.51,300927
2021-03-26,32.6,32.59,33.41,32.19,28461,92857593.0,3.7,-1.24,-0.41,14.97,300927
2021-03-29,32.49,33.43,33.43,31.8,34856,113840333.0,5.0,2.58,0.84,18.33,300927
2021-03-30,32.99,32.24,33.57,32.24,29794,98381343.0,3.98,-3.56,-1.19,15.67,300927
2021-03-31,31.65,31.6,32.48,31.5,25223,80294191.0,3.04,-1.99,-0.64,13.26,300927
2021-04-01,31.94,33.31,36.01,31.94,49797,167363745.0,12.88,5.41,1.71,26.19,300927
2021-04-02,33.31,34.39,34.6,32.52,52259,176502354.0,6.24,3.24,1.08,27.48,300927
2021-04-06,34.41,34.58,35.86,33.8,51445,179854295.0,5.99,0.55,0.19,27.06,300927
2021-04-07,34.58,36.53,37.5,34.1,59600,213541174.0,9.83,5.64,1.95,31.34,300927
2021-04-08,36.0,35.3,36.8,35.24,49750,178260904.0,4.27,-3.37,-1.23,26.16,300927
2021-04-09,34.96,34.83,35.9,34.69,27857,97876127.0,3.43,-1.33,-0.47,14.65,300927
2021-04-12,34.85,35.25,36.48,34.48,38860,138719821.0,5.74,1.21,0.42,20.44,300927
2021-04-13,34.91,33.8,35.69,33.19,27227,92887911.0,7.09,-4.11,-1.45,14.32,300927
2021-04-14,33.9,34.45,35.4,33.9,23720,81877430.0,4.44,1.92,0.65,12.47,300927
2021-04-15,34.04,33.32,34.24,33.0,21668,72712604.0,3.6,-3.28,-1.13,11.4,300927
2021-04-16,33.15,33.71,34.09,32.7,17263,57887625.0,4.17,1.17,0.39,9.08,300927
2021-04-19,34.11,34.66,34.95,33.95,25835,89335522.0,2.97,2.82,0.95,13.59,300927
2021-04-20,34.37,33.34,35.36,33.2,35102,120911574.0,6.23,-3.81,-1.32,18.46,300927
2021-04-21,33.19,32.38,33.5,32.08,29206,94857765.0,4.26,-2.88,-0.96,15.36,300927
2021-04-22,32.6,32.17,32.65,31.81,17534,56322401.0,2.59,-0.65,-0.21,9.22,300927
2021-04-23,32.09,31.34,32.09,30.92,19819,62232811.0,3.64,-2.58,-0.83,10.42,300927
2021-04-26,31.3,31.7,32.13,31.23,16769,53132841.0,2.87,1.15,0.36,8.82,300927
2021-04-27,31.7,30.73,32.0,30.47,15661,48423965.0,4.83,-3.06,-0.97,8.24,300927
2021-04-28,30.85,31.16,31.52,30.41,12691,39483159.0,3.61,1.4,0.43,6.67,300927
2021-04-29,30.92,30.64,31.09,30.62,11839,36470158.0,1.51,-1.67,-0.52,6.23,300927
2021-04-30,30.75,29.46,30.75,29.46,16180,48422596.0,4.21,-3.85,-1.18,8.51,300927
2021-05-06,29.55,29.93,30.29,29.41,10158,30442649.0,2.99,1.6,0.47,5.34,300927
2021-05-07,30.27,30.75,30.87,29.9,17138,52255977.0,3.24,2.74,0.82,9.01,300927
2021-05-10,31.19,30.4,31.19,30.21,13846,42360085.0,3.19,-1.14,-0.35,7.28,300927
2021-05-11,30.45,30.54,30.75,29.82,10867,33009950.0,3.06,0.46,0.14,5.71,300927
2021-05-12,30.23,31.65,32.2,30.0,24753,77426649.0,7.2,3.63,1.11,13.02,300927
2021-05-13,31.36,30.79,32.91,30.7,23692,75147365.0,6.98,-2.72,-0.86,12.46,300927
2021-05-14,30.12,30.68,31.14,30.12,15675,48156850.0,3.31,-0.36,-0.11,8.24,300927
2021-05-17,30.55,30.04,30.58,29.41,18566,55255930.0,3.81,-2.09,-0.64,9.76,300927
2021-05-18,29.85,30.35,30.5,29.83,10516,31800589.0,2.23,1.03,0.31,5.53,300927
2021-05-19,30.14,30.07,30.56,30.01,10627,32137495.0,1.81,-0.92,-0.28,5.59,300927
2021-05-20,30.0,30.99,31.2,29.7,20772,63318973.0,4.99,3.06,0.92,10.92,300927
2021-05-21,30.76,30.51,31.11,30.35,13714,42122671.0,2.45,-1.55,-0.48,7.21,300927
2021-05-24,30.5,30.95,30.97,30.34,9088,27838301.0,2.06,1.44,0.44,4.78,300927
2021-05-25,31.5,30.78,31.5,30.35,13197,40526202.0,3.72,-0.55,-0.17,6.94,300927
2021-05-26,30.8,31.12,31.28,30.56,14965,46342215.0,2.34,1.1,0.34,7.87,300927
2021-05-27,30.91,30.91,31.3,30.72,12553,38889847.0,1.86,-0.67,-0.21,6.6,300927
2021-05-28,31.1,30.25,31.1,30.1,16132,49231856.0,3.24,-2.14,-0.66,8.48,300927
2021-05-31,30.11,30.39,30.44,30.06,9319,28215614.0,1.26,0.46,0.14,4.9,300927
2021-06-01,30.21,30.64,30.79,30.01,12410,37769061.0,2.57,0.82,0.25,6.53,300927
2021-06-02,30.67,31.06,31.18,30.54,20163,62399767.0,2.09,1.37,0.42,10.6,300927
2021-06-03,31.05,30.58,31.3,30.57,15263,47180119.0,2.35,-1.55,-0.48,8.03,300927
2021-06-04,30.48,30.2,30.69,29.94,13373,40481229.0,2.45,-1.24,-0.38,7.03,300927
2021-06-07,30.17,31.17,31.21,30.17,21492,66356934.0,3.44,3.21,0.97,11.3,300927
2021-06-08,31.0,30.48,31.2,30.1,15127,46266155.0,3.53,-2.21,-0.69,7.96,300927
2021-06-09,30.22,31.09,31.48,30.21,19688,61047140.0,4.17,2.0,0.61,10.35,300927
2021-06-10,31.76,32.19,33.48,31.3,47481,153403758.0,7.01,3.54,1.1,24.97,300927
2021-06-11,31.81,31.32,32.26,31.02,27958,88012375.0,3.85,-2.7,-0.87,14.7,300927
2021-06-15,31.28,30.7,31.29,30.23,14860,45675725.0,3.38,-1.98,-0.62,7.81,300927
2021-06-16,30.65,30.16,30.79,30.05,12652,38330440.0,2.41,-1.76,-0.54,6.65,300927
2021-06-17,30.22,30.46,30.55,29.9,10479,31687458.0,2.16,0.99,0.3,5.51,300927
2021-06-18,30.4,30.3,30.4,29.99,10821,32660314.0,1.35,-0.53,-0.16,5.69,300927
2021-06-21,30.22,30.49,30.57,30.16,12339,37212918.0,1.35,0.63,0.19,6.49,300927
2021-06-22,30.59,30.99,31.02,30.4,14814,45189255.0,2.03,1.64,0.5,7.79,300927
2021-06-23,31.0,30.58,31.06,30.53,13938,42502077.0,1.71,-1.32,-0.41,7.33,300927
2021-06-24,30.51,31.36,31.44,30.28,22974,70637544.0,3.79,2.55,0.78,12.08,300927
2021-06-25,31.26,31.35,31.66,30.87,19006,58969335.0,2.52,-0.03,-0.01,10.0,300927
2021-06-28,31.36,31.16,31.62,31.02,15009,46589722.0,1.91,-0.61,-0.19,7.89,300927
2021-06-29,31.01,30.39,31.05,30.37,15391,46713103.0,2.18,-2.47,-0.77,8.09,300927
2021-06-30,30.46,30.58,30.72,30.27,9524,28810814.0,1.48,0.63,0.19,5.01,300927
2021-07-01,31.88,31.51,36.41,31.41,51763,168667455.0,16.35,3.04,0.93,27.22,300927
2021-07-02,30.88,31.98,32.65,30.21,38799,121015409.0,7.74,1.49,0.47,20.4,300927
2021-07-05,31.41,31.53,31.81,30.87,25606,79543824.0,2.94,-1.41,-0.45,13.47,300927
2021-07-06,31.24,32.66,32.74,31.03,39894,127707449.0,5.42,3.58,1.13,20.98,300927
2021-07-07,32.2,32.92,32.92,31.89,35990,116030304.0,3.15,0.8,0.26,17.95,300927
2021-07-08,32.8,31.81,32.8,31.74,26786,85470904.0,3.22,-3.37,-1.11,13.36,300927
2021-07-09,31.52,32.06,32.31,31.45,17535,55734447.0,2.7,0.79,0.25,8.75,300927
2021-07-12,32.11,32.96,32.96,31.92,28544,92374291.0,3.24,2.81,0.9,14.24,300927
2021-07-13,32.91,32.5,32.91,32.11,21873,70525994.0,2.43,-1.4,-0.46,10.91,300927
2021-07-14,32.5,33.44,33.65,31.93,36680,120146722.0,5.29,2.89,0.94,18.29,300927
2021-07-15,33.11,33.31,33.87,32.53,29539,97321689.0,4.01,-0.39,-0.13,14.73,300927
2021-07-16,33.34,32.4,33.46,32.31,22394,73295041.0,3.45,-2.73,-0.91,11.17,300927
2021-07-19,32.07,32.08,32.57,31.97,13449,42943800.0,1.85,-0.99,-0.32,6.71,300927
2021-07-20,31.58,30.66,31.71,30.58,25514,78459835.0,3.52,-4.43,-1.42,12.73,300927
2021-07-21,30.56,31.05,31.15,30.51,14864,45592525.0,2.09,1.27,0.39,7.41,300927
2021-07-22,31.49,31.92,32.51,31.49,26864,85568031.0,3.29,2.8,0.87,13.4,300927
2021-07-23,31.8,30.79,32.08,30.66,21383,66193349.0,4.45,-3.54,-1.13,10.66,300927
2021-07-26,30.71,32.18,32.21,30.21,27559,86048607.0,6.5,4.51,1.39,13.75,300927
2021-07-27,32.21,30.94,32.29,30.8,18664,58579826.0,4.63,-3.85,-1.24,9.31,300927
2021-07-28,30.52,31.15,31.77,30.52,16120,49942161.0,4.04,0.68,0.21,8.04,300927
2021-07-29,31.12,32.2,32.48,31.12,29878,94667164.0,4.37,3.37,1.05,14.9,300927
2021-07-30,32.21,33.0,33.1,31.73,31684,102451724.0,4.25,2.48,0.8,15.8,300927
2021-08-02,32.8,32.97,33.0,32.31,21992,71529487.0,2.09,-0.09,-0.03,10.97,300927
2021-08-03,32.86,32.23,33.27,32.12,19454,63008416.0,3.49,-2.24,-0.74,9.7,300927
2021-08-04,32.2,33.8,34.41,32.01,37904,126537166.0,7.45,4.87,1.57,18.9,300927
2021-08-05,33.69,33.51,34.34,33.07,25638,85592177.0,3.76,-0.86,-0.29,12.79,300927
2021-08-06,33.48,33.03,33.49,32.6,18176,59506079.0,2.66,-1.43,-0.48,9.07,300927
2021-08-09,32.91,33.15,33.71,32.91,17574,58143641.0,2.42,0.36,0.12,8.77,300927
2021-08-10,33.31,34.33,34.79,33.02,32911,111828930.0,5.34,3.56,1.18,16.41,300927
2021-08-11,33.93,33.97,34.31,33.7,15885,53707252.0,1.78,-1.05,-0.36,7.92,300927
2021-08-12,34.01,33.61,34.23,33.41,17973,60321008.0,2.41,-1.06,-0.36,8.96,300927
2021-08-13,33.33,34.42,34.81,33.09,29310,99311701.0,5.12,2.41,0.81,14.62,300927
2021-08-16,34.52,34.7,34.96,34.11,25863,88685142.0,2.47,0.81,0.28,12.9,300927
2021-08-17,34.08,32.28,34.16,32.09,37366,121279072.0,5.97,-6.97,-2.42,18.64,300927
2021-08-18,32.31,32.55,32.57,31.96,16393,52624304.0,1.89,0.84,0.27,8.18,300927
2021-08-19,32.37,32.02,32.54,31.81,15004,47939665.0,2.24,-1.63,-0.53,7.48,300927
2021-08-20,31.71,31.11,31.74,30.72,16139,49853607.0,3.19,-2.84,-0.91,8.05,300927
2021-08-23,31.21,31.93,32.01,31.12,14485,45622884.0,2.86,2.64,0.82,7.22,300927
2021-08-24,32.16,32.26,32.53,31.91,15438,49432929.0,1.94,1.03,0.33,7.7,300927
2021-08-25,32.26,32.54,32.9,31.73,14332,46169604.0,3.63,0.87,0.28,7.15,300927
2021-08-26,32.32,33.11,33.99,32.32,25853,85246203.0,5.13,1.75,0.57,12.89,300927
2021-08-27,33.48,34.79,35.64,33.22,51978,178378336.0,7.31,5.07,1.68,25.92,300927
2021-08-30,34.46,36.29,37.16,34.09,56542,198032022.0,8.82,4.31,1.5,28.2,300927
2021-08-31,38.21,36.66,40.53,36.62,93658,358566704.0,10.77,1.02,0.37,46.71,300927
2021-09-01,36.85,37.62,40.24,36.61,86690,333373920.0,9.9,2.62,0.96,43.24,300927
2021-09-02,36.14,38.82,39.2,34.09,67893,251417549.0,13.58,3.19,1.2,33.86,300927
2021-09-03,37.87,35.88,37.87,35.49,54051,195819610.0,6.13,-7.57,-2.94,26.96,300927
2021-09-06,36.01,35.34,36.43,34.65,28644,100187396.0,4.96,-1.51,-0.54,14.29,300927
2021-09-07,35.33,36.19,36.6,34.93,32132,114661209.0,4.73,2.41,0.85,16.03,300927
2021-09-08,35.72,35.57,36.41,35.2,26307,93202071.0,3.34,-1.71,-0.62,13.12,300927
2021-09-09,35.31,37.37,38.19,34.99,45396,165505656.0,9.0,5.06,1.8,22.64,300927
2021-09-10,37.01,35.74,37.13,34.92,34827,124159289.0,5.91,-4.36,-1.63,17.37,300927
2021-09-13,36.2,42.85,42.85,36.17,60452,249739726.0,18.69,19.89,7.11,30.15,300927
2021-09-14,42.86,40.93,44.98,40.21,95856,399764352.0,11.13,-4.48,-1.92,47.81,300927
2021-09-15,39.96,49.07,49.07,39.01,104353,449355264.0,24.58,19.89,8.14,52.05,300927
2021-09-16,49.98,54.51,58.84,49.21,125397,659665600.0,19.63,11.09,5.44,62.54,300927
2021-09-17,52.17,51.43,58.41,50.69,107951,577759888.0,14.16,-5.65,-3.08,53.84,300927
2021-09-22,49.57,47.81,51.43,45.71,87629,416987072.0,11.12,-7.04,-3.62,43.71,300927
2021-09-23,48.13,44.56,48.13,44.33,73078,330537952.0,7.95,-6.8,-3.25,36.45,300927
2021-09-24,44.29,42.21,44.71,41.91,59204,253031682.0,6.28,-5.27,-2.35,29.53,300927
2021-09-27,41.81,38.95,42.51,38.59,47705,190172670.0,9.29,-7.72,-3.26,23.79,300927
2021-09-28,39.34,39.72,40.17,38.73,37009,145164783.0,3.7,1.98,0.77,18.46,300927
2021-09-29,39.11,36.6,39.51,36.39,39241,147073437.0,7.85,-7.85,-3.12,19.57,300927
2021-09-30,37.21,38.14,38.42,37.2,31605,118910304.0,3.33,4.21,1.54,15.76,300927
2021-10-08,39.09,38.41,40.21,37.62,36087,139384715.0,6.79,0.71,0.27,18.0,300927
2021-10-11,38.13,38.57,39.21,37.39,26318,100585078.0,4.74,0.42,0.16,13.13,300927
2021-10-12,38.94,36.99,39.68,36.39,32259,121037499.0,8.53,-4.1,-1.58,16.09,300927
2021-10-13,37.29,37.31,37.46,36.1,20832,76262725.0,3.68,0.87,0.32,10.39,300927
2021-10-14,36.85,37.4,37.6,35.99,21409,78518788.0,4.32,0.24,0.09,10.68,300927
2021-10-15,37.12,35.95,37.34,35.59,26388,95088238.0,4.68,-3.88,-1.45,13.16,300927
2021-10-18,36.24,37.08,37.11,35.93,20246,73754857.0,3.28,3.14,1.13,10.1,300927
2021-10-19,37.1,37.59,38.05,36.64,29562,109910689.0,3.8,1.38,0.51,14.74,300927
2021-10-20,37.21,39.48,39.71,35.32,64029,242832273.0,11.68,5.03,1.89,31.93,300927
2021-10-21,38.48,41.09,43.21,38.11,82509,336535888.0,12.92,4.08,1.61,41.15,300927
2021-10-22,40.21,39.66,42.61,39.51,61092,249025457.0,7.54,-3.48,-1.43,30.47,300927
2021-10-25,39.29,42.07,42.79,38.32,53715,220198057.0,11.27,6.08,2.41,26.79,300927
2021-10-26,42.07,40.43,42.07,39.74,48535,195110449.0,5.54,-3.9,-1.64,24.21,300927
2021-10-27,39.36,39.15,40.91,38.42,39952,157517518.0,6.16,-3.17,-1.28,19.93,300927
2021-10-28,39.15,35.29,39.35,35.26,42261,152718360.0,10.45,-9.86,-3.86,21.08,300927
2021-10-29,35.45,36.34,36.71,35.23,27575,99160171.0,4.19,2.98,1.05,13.75,300927
2021-11-01,37.43,36.32,37.49,36.01,24233,88237482.0,4.07,-0.06,-0.02,12.09,300927
2021-11-02,36.5,34.68,36.8,34.51,31148,109650669.0,6.31,-4.52,-1.64,15.54,300927
2021-11-03,34.94,33.94,34.94,33.66,19949,67552872.0,3.69,-2.13,-0.74,9.95,300927
2021-11-04,33.8,35.6,35.66,33.8,29294,101621088.0,5.48,4.89,1.66,14.61,300927
2021-11-05,35.41,34.71,35.88,34.34,26426,91816845.0,4.33,-2.5,-0.89,13.18,300927
2021-11-08,34.36,34.97,35.21,34.02,18378,63219097.0,3.43,0.75,0.26,9.17,300927
2021-11-09,35.05,36.01,36.16,34.62,28856,102307849.0,4.4,2.97,1.04,14.39,300927
2021-11-10,35.81,38.47,38.69,34.59,50937,185275986.0,11.39,6.83,2.46,25.4,300927
2021-11-11,37.69,37.31,38.09,36.93,38383,143552461.0,3.02,-3.02,-1.16,19.14,300927
2021-11-12,37.31,37.36,37.7,36.83,27690,102733279.0,2.33,0.13,0.05,13.81,300927
2021-11-15,37.21,38.5,39.09,37.06,34403,130127363.0,5.43,3.05,1.14,17.16,300927
2021-11-16,38.41,36.51,38.41,36.47,28626,106152607.0,5.04,-5.17,-1.99,14.28,300927
2021-11-17,36.57,37.11,37.46,36.56,16870,62230003.0,2.47,1.64,0.6,8.41,300927
2021-11-18,37.56,39.11,39.38,37.13,47140,180562969.0,6.06,5.39,2.0,23.51,300927
