date,open,close,high,low,volume,turnover,increase,increase_rate,increase_amount,exchange_rate,code
2021-09-13,92.11,93.0,98.04,88.8,118258,1103303344.0,52.2,425.42,75.3,83.01,688622
2021-09-14,92.8,89.66,94.6,83.88,54090,479070928.0,11.53,-3.59,-3.34,37.97,688622
2021-09-15,88.5,93.99,96.44,88.0,39373,367795808.0,9.41,4.83,4.33,27.64,688622
2021-09-16,90.1,85.23,91.5,84.77,30226,264617439.0,7.16,-9.32,-8.76,21.22,688622
2021-09-17,85.0,84.03,87.0,77.03,25303,206634306.0,11.7,-1.41,-1.2,17.76,688622
2021-09-22,83.0,77.83,84.07,77.52,21378,171342579.0,7.79,-7.38,-6.2,15.01,688622
2021-09-23,77.83,78.46,80.52,75.03,12294,95756026.0,7.05,0.81,0.63,8.63,688622
2021-09-24,77.65,76.88,79.8,76.15,10492,81303247.0,4.65,-2.01,-1.58,7.36,688622
2021-09-27,76.88,68.5,76.88,67.12,18214,129972001.0,12.7,-10.9,-8.38,12.79,688622
2021-09-28,68.2,68.69,69.66,65.12,15667,106161381.0,6.63,0.28,0.19,11.0,688622
2021-09-29,67.0,67.95,69.98,66.4,10393,71268809.0,5.21,-1.08,-0.74,7.3,688622
2021-09-30,67.9,69.07,71.84,66.21,8841,61002748.0,8.29,1.65,1.12,6.21,688622
2021-10-08,69.3,70.54,72.03,68.01,6610,46656916.0,5.82,2.13,1.47,4.64,688622
2021-10-11,70.48,66.38,70.48,66.02,4096,27539082.0,6.32,-5.9,-4.16,2.88,688622
2021-10-12,66.08,62.38,66.08,60.2,13974,87160731.0,8.86,-6.03,-4.0,9.81,688622
2021-10-13,61.61,64.29,65.28,61.09,4129,26129678.0,6.72,3.06,1.91,2.9,688622
2021-10-14,66.22,63.8,66.22,62.58,2601,16652558.0,5.66,-0.76,-0.49,1.83,688622
2021-10-15,64.2,62.99,64.2,60.5,6010,37246312.0,5.8,-1.27,-0.81,4.22,688622
2021-10-18,62.0,62.41,64.58,61.81,2175,13699449.0,4.4,-0.92,-0.58,1.53,688622
