date,open,close,high,low,volume,turnover,increase,increase_rate,increase_amount,exchange_rate,code
2018-10-16,21.87,22.67,22.76,21.12,60967,135405241.0,7.47,3.23,0.71,11.08,603348
2018-10-17,22.94,22.33,22.99,21.7,48536,108772887.0,5.69,-1.5,-0.34,8.82,603348
2018-10-18,22.69,21.6,23.6,21.58,68438,155390131.0,9.05,-3.27,-0.73,12.44,603348
2018-10-19,20.0,21.31,21.5,20.0,57782,119925269.0,6.94,-1.34,-0.29,10.51,603348
2018-10-22,21.4,22.41,22.64,21.39,62930,139150406.0,5.87,5.16,1.1,11.44,603348
2018-10-23,22.54,21.85,22.82,21.81,57719,128994528.0,4.51,-2.5,-0.56,10.49,603348
2018-10-24,22.22,22.2,22.85,21.99,56063,125669187.0,3.94,1.6,0.35,10.19,603348
2018-10-25,21.27,22.43,22.43,20.69,50470,108566483.0,7.84,1.04,0.23,9.18,603348
2018-10-26,22.7,22.33,22.76,22.23,46224,103858350.0,2.36,-0.45,-0.1,8.4,603348
2018-10-29,22.33,21.3,22.33,21.25,34002,73730182.0,4.84,-4.61,-1.03,6.18,603348
2018-10-30,21.5,22.08,22.48,21.49,52126,114732386.0,4.65,3.66,0.78,9.48,603348
2018-10-31,22.17,22.55,23.0,22.15,63014,142657209.0,3.85,2.13,0.47,11.46,603348
2018-11-01,22.35,23.09,24.81,22.35,99234,230869676.0,10.91,2.39,0.54,18.04,603348
2018-11-02,23.4,24.8,24.8,23.0,85934,202198073.0,7.8,7.41,1.71,15.62,603348
2018-11-05,24.66,24.49,24.99,24.13,80460,197323443.0,3.47,-1.25,-0.31,14.63,603348
2018-11-06,24.16,23.7,24.19,23.21,52440,123649338.0,4.0,-3.23,-0.79,9.53,603348
2018-11-07,23.76,23.48,23.99,23.43,35730,84601891.0,2.36,-0.93,-0.22,6.5,603348
2018-11-08,23.7,22.97,23.8,22.81,35522,82607272.0,4.22,-2.17,-0.51,6.46,603348
